County,Year,MME,State,Population
Hillsborough,2009,249983443601989.03,Florida,.
Hillsborough,2010,347890876741989.06,Florida,.
Hillsborough,2011,174745032848295.2,Florida,.
Hillsborough,2012,91513527809997.34,Florida,.
Hillsborough,2013,64160938491203.94,Florida,.
Hillsborough,2014,54814869415746.67,Florida,.
Holmes,2006,7871498392.34,Florida,.
Holmes,2007,9264930413.379875,Florida,.
Holmes,2008,9229760014.335726,Florida,.
Holmes,2009,7938109755.695649,Florida,.
Holmes,2010,7136927589.873012,Florida,.
Holmes,2011,8729439517.7895,Florida,.
Holmes,2012,10566219386.69,Florida,.
Holmes,2013,11116672102.8,Florida,.
Holmes,2014,9000833830.315725,Florida,.
Indian river,2006,582478570654.0702,Florida,.
Indian river,2007,774024897265.5302,Florida,.
Indian river,2008,1014843043617.8848,Florida,.
Indian river,2009,1318336639572.556,Florida,.
Indian river,2010,1874279720152.1504,Florida,.
Indian river,2011,2517310171325.968,Florida,.
Indian river,2012,1751572369904.58,Florida,.
Indian river,2013,1415376698909.12,Florida,.
Indian river,2014,1240996754537.6384,Florida,.
Jackson,2006,36523246477.26,Florida,.
Jackson,2007,45319021932.62,Florida,.
Jackson,2008,48068579910.864,Florida,.
Jackson,2009,51770642098.7,Florida,.
Jackson,2010,62514874396.15,Florida,.
Jackson,2011,77095050779.0025,Florida,.
Jackson,2012,89608671518.76001,Florida,.
Jackson,2013,90059099054.655,Florida,.
Jackson,2014,77061219361.83,Florida,.
Jefferson,2006,1440587687.6160002,Florida,.
Jefferson,2007,1819472866.983,Florida,.
Jefferson,2008,2172037132.512,Florida,.
Jefferson,2009,2303743248.111988,Florida,.
Jefferson,2010,2456450917.03,Florida,.
Jefferson,2011,2540661305.99,Florida,.
Jefferson,2012,1796520931.53,Florida,.
Jefferson,2013,1873263359.89,Florida,.
Jefferson,2014,1356751945.975,Florida,.
Lafayette,2006,663152230.875,Florida,.
Lafayette,2007,777336085.8000001,Florida,.
Lafayette,2008,674520546.375,Florida,.
Lafayette,2009,661691714.1999999,Florida,.
Lafayette,2010,749467722.4,Florida,.
Lafayette,2011,754839543.15,Florida,.
Lafayette,2012,720706149.2399999,Florida,.
Lafayette,2013,885750103.995,Florida,.
Lafayette,2014,663028432.5,Florida,.
